STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
GREEN,LARKIN,NE,WB,0,25314000,GREEN & LARKIN,,,,,,,POINT (-122.4205 37.798035),107,107,6,3,32
FRONT,GREEN,,NB,,24811000,,,,,,,,POINT (-122.40025 37.800606),77,77,6,3,8
HUDSON,MENDELL,SW,EB,0,20215000,HUDSON & MENDELL,,,,,,,POINT (-122.3864 37.738983),86,86,2,9,1
UNIVERSITY,SILVER,SE,NB,0,20969000,UNIVERSITY ST & SILVER AVE,,,,I,,,POINT (-122.41519 37.72922),91,91,2,2,25
SHIPLEY,5TH ST,,WB,,23935000,SHIPLEY & 5TH ST,,,,,,,POINT (-122.40284 37.779827),32,32,1,10,34
HARBOR,INGALLS,NE,WB,00,20061000,HARBOR & INGALLS,,,,,,,POINT (-122.37993 37.73338),78,78,2,9,1
VALLEJO,BRODERICK,NE,WB,0,26877000,VALLEJO & BRODERICK,,,,,,,POINT (-122.44338 37.794174),102,102,4,6,30
18TH AVE,NORIEGA,SE,NB,0,27320000,18TH AVE & NORIEGA,,,,,,,POINT (-122.4754 37.754288),44,44,10,8,14
JULES AVE,HOLLOWAY,SE,NB,0,22612000,JULES AVE & HOLLOWAY,,,,,,,POINT (-122.46124 37.721832),64,64,10,8,24
YERBA BUENA,SANTA PAULA,SW,EB,0,22821000,YERBA BUENA & SANTA PAULA,,,,,,,POINT (-122.463135 37.737022),69,69,10,8,41
42ND AVE,CABRILLO,SE,NB,0,27879000,42ND AVE & CABRILLO,,,,,,,POINT (-122.50253 37.773605),8,8,8,4,29
SACRAMENTO,WALNUT,NE,WB,0,26916000,SACRAMENTO ST & WALNUT ST,,,,,,,POINT (-122.448654 37.787975),10,10,8,6,31
BRADFORD,BERNAL HEIGHTS,SE,NB,,3059000,BRADFORD ST & BERNAL HEIGHTS BLVD,,,,I,,,POINT (-122.40938 37.742924),83,83,9,2,2
21ST AVE,ULLOA,NW,SB,0,23172000,21ST AVE & ULLOA,,,,,,,POINT (-122.47771 37.74109),40,40,10,7,35
BELVEDERE,17TH ST,NW,SB,0,26262000,BELVEDERE ST & 17TH ST,,,,,,,POINT (-122.44778 37.761726),114,114,7,11,3
JUSTIN,GENEBERN,NE,WB,,21674000,JUSTIN DR & GENEBERN WY,,,,,,,POINT (-122.42505 37.73213),93,93,9,2,2
CLAREMONT,TARAVAL,SE,NB,0,22882000,CLAREMONT & TARAVAL,,,,,,,POINT (-122.463684 37.743748),49,49,10,8,41
TOMPKINS,PRENTISS,SW,EB,0,21073000,TOMPKINS & PRENTISS,,,,,,,POINT (-122.41224 37.737),83,83,9,2,2
JENNINGS ST,MEADE AVE,NB,NB,,20463000,,,,,,,,POINT (-122.39711 37.717697),88,88,2,9,1
HAYES,ASHBURY,SW,EB,,26378000,HAYES & ASHBURY,,,,,,,POINT (-122.447685 37.77373),24,24,7,11,18
45TH AVE,VICENTE,NW,SB,,23454000,45TH AVE & VICENTE,,,,,,,POINT (-122.50329 37.7381),39,39,10,7,35
RADIO,14TH AVE,NE,WB,0,27119000,RADIO & 14TH AVE,,,,,,,POINT (-122.47085 37.75091),44,44,10,8,14
CHICAGO,CORDOVA,NE,WB,,21387000,CHICAGO & CORDOVA,,,,,,,POINT (-122.434395 37.70887),58,58,9,1,7
CHESTNUT,POLK,SW,EB,0,26690000,CHESTNUT & POLK,,,,,,,POINT (-122.42309 37.80249),107,107,4,6,32
47TH AVE,SANTIAGO,NW,SB,3S,23508000,47TH AVE & SANTIAGO,,,,I,,,POINT (-122.50582 37.743595),39,39,10,7,35
CARMEL,COLE,NE,WB,15E,26264000,CARMEL & COLE,,,,,,,POINT (-122.44896 37.760853),114,114,7,11,14
LINDA ST,19TH ST,SE,NB,,25672000,LINDA & 19TH ST,,,,,,,POINT (-122.42288 37.760014),37,37,3,5,20
GOLD MINE,DIAMOND HEIGHTS,SW,EB,0,22036000,GOLD MINE DR & DIAMOND HEIGHTS BLVD,,,,,,,POINT (-122.43768 37.74361),57,57,9,5,22
21ST AVE,RIVERA,NW,SB,0,23208000,21ST AVE & RIVERA,,,,,,,POINT (-122.478096 37.746685),40,40,10,7,35
JONES ST,GREENWICH,NW,SB,0,25504000,JONES ST & GREENWICH,,,,,,,POINT (-122.41613 37.80148),107,107,6,3,32
KIRKHAM,34TH AVE,NE,WB,0,27723000,KIRKHAM ST & 34TH AVE,,,,,,,POINT (-122.492935 37.759125),39,39,10,7,35
CLEMENT,45TH AVE,NE,WB,0,32832000,CLEMENT ST & 45TH AVE,,,,,,,POINT (-122.5063 37.780994),6,6,8,4,29
DUNCAN,SAN JOSE,NE,WB,0,21350000,DUNCAN & SAN JOSE,,,,,,,POINT (-122.42171 37.74641),84,84,9,5,22
DIAMOND,ELIZABETH,NW,SB,0,25761000,DIAMOND ST & ELIZABETH ST,,,,,,,POINT (-122.43638 37.75196),84,84,3,5,22
BENTON,JUSTIN,SW,EB,,21237000,BENTON AVE & JUSTIN DR,,,,,,,POINT (-122.42203 37.73314),93,93,9,2,2
TREAT,HARRISON,SW,EB,0,24055000,HARRISON ST & TREAT AVE,20210730000000,,6441,I,21-02890,20220125000000,POINT (-122.41311 37.765446),53,53,3,2,20
MARINA,BAKER,SW,EB,,27020000,MARINA BLVD & BAKER ST,20160405000000,,16-036,,,,POINT (-122.44729 37.80516),17,17,4,6,13
POWHATTAN,PERALTA,NE,WB,0,21097000,POWHATTAN AVE & PERALTA AVE,,,,,,,POINT (-122.40875 37.741276),83,83,9,2,2
FRANCE,PARIS,SW,EB,,21730000,FRANCE & PARIS,,,,,,,POINT (-122.43676 37.71927),90,90,9,1,7
24TH ST,SHOTWELL STREET,NE,WB,,24064000,24TH & SHOTWELL,,,,,,,POINT (-122.41517 37.75244),53,53,3,2,20
OCTAVIA,FULTON,SE,EB,0,25945000,OCTAVIA ST & FULTON ST,,,,,,,POINT (-122.424995 37.778538),22,22,4,11,9
SCOTT,SACRAMENTO,NW,SB,0,26820000,SCOTT & SACRAMENTO,,,,,,,POINT (-122.43896 37.789207),102,102,4,6,30
ULLOA,17TH AVE,SW,EB,0,23156000,ULLOA ST & 17TH AVE,,,,,,,POINT (-122.47342 37.741283),46,46,10,8,41
MERRITT,MARKET,SW,EB,0,26174000,MERRITT & MARKET,,,,,,,POINT (-122.44279 37.761044),115,115,3,5,5
HOFFMAN,23RD ST,NW,SB,0,26085000,HOFFMAN & 23RD ST,,,,,,,POINT (-122.44077 37.7525),51,51,3,5,22
GOLDEN GATE,BRODERICK,NE,WB,0,26073000,GOLDEN GATE & BRODERICK,,,,,,,POINT (-122.440216 37.77851),97,97,7,11,39
NORIEGA,34TH AVE,NE,WB,00,27691000,NORIEGA & 34TH AVE,,,,,,,POINT (-122.492546 37.753532),39,39,10,7,35
CHERRY,CLAY,NW,SB,0,27571000,CHERRY & CLAY,,,,,,,POINT (-122.45706 37.787807),10,10,8,6,31
GRACE,MISSION,SE,NB,0,24309000,GRACE & MISSION,,,,,,,POINT (-122.41548 37.775608),32,32,1,10,34
QUINTARA,34TH AVE,NE,WB,0,23413000,QUINTARA & 34TH AVE,,,,,,,POINT (-122.49216 37.747936),39,39,10,7,35
24TH ST,NOE,NE,WB,0,25738000,24TH ST & NOE,,,,,,,POINT (-122.43188 37.75144),84,84,3,5,22
SANTA YNEZ,DELANO,NE,NB,0,22110000,SANTA YNEZ & DELANO,,,,,,,POINT (-122.44162 37.72538),94,94,9,1,28
BALTIMORE,POPE,NE,WB,,21447000,BALTIMORE WY & POPE ST,,,,,,,POINT (-122.43963 37.70954),58,58,9,1,7
BUCHANAN,NORTH POINT,SE,NB,,26756000,BUCHANAN & NORTH POINT,,,,,,,POINT (-122.433525 37.804035),17,17,4,6,13
30TH AVE,JUDAH,NW,SB,0,27711000,30TH AVE & JUDAH ST,,,,I,,,POINT (-122.48878 37.76118),39,39,10,7,35
GROVE,FILLMORE,NE,WB,0,25957000,GROVE & FILLMORE,,,,,,,POINT (-122.43138 37.77676),22,22,4,11,9
WASHINGTON,PRESIDIO,,EB,,26952000,WASHINGTON ST & PRESIDIO,,,,,,,POINT (-122.44733 37.78994),10,10,8,6,31
BALBOA,40TH AVE,SW,EB,0,27903000,BALBOA ST & 40TH AVE,,,,,,,POINT (-122.50052 37.77557),8,8,8,4,29
KIRKHAM,18TH AVE,SW,EB,0,27363000,KIRKHAM ST & 18TH AVE,,,,,,,POINT (-122.4758 37.75988),109,109,10,8,14
EL CAMINO DEL MAR,SEA CLIFF,NE,WB,0,28034000,EL CAMINO DEL MAR & SEA CLIFF,,,,,,,POINT (-122.48952 37.78824),1,1,8,6,33
CLAY,LOCUST,SW,EB,,26940000,CLAY ST & LOCUST,,,,,,,POINT (-122.452126 37.788437),10,10,8,6,31
BARNEVELD,OAKDALE,NW,SB,0,20810000,BARNEVELD AVE & OAKDALE AVE,,,,,,,POINT (-122.40345 37.742035),82,82,2,9,1
LA PLAYA ST,JUDAH,SE,NB,0,27960000,LA PLAYA ST & JUDAH,,,,,,,POINT (-122.50914 37.76028),39,39,10,7,35
GREENWICH,OCTAVIA,SW,EB,,26719000,GREENWICH ST & OCTAVIA ST,,,,,,,POINT (-122.42929 37.79979),15,15,4,6,13
20TH AVE,KIRKHAM,NW,SB,0,27367000,20TH AVE & KIRKHAM,,,,,,,POINT (-122.477936 37.759785),39,39,10,7,35
19TH ST,CHURCH,SW,EB,,25710000,19TH ST & CHURCH ST,,,,,,,POINT (-122.4282 37.759693),37,37,3,5,5
ELM,POLK,SW,EB,0,24465000,ELM & POLK,,,,,,,POINT (-122.4189 37.781704),21,21,4,10,36
BARNEVELD,OAKDALE,SE,NB,0,20810000,BARNEVELD AVE & OAKDALE AVE,,,,,,,POINT (-122.40345 37.742035),82,82,2,9,1
JOOST AVE,GENNESSEE,,EB,,22260000,JOOST AVE & GENNESSEE,,,,,,,POINT (-122.45116 37.732315),95,95,9,8,41
EDINBURGH,BRAZIL,SE,NB,0,21648000,EDINBURGH ST & BRAZIL AVE,,,,I,,,POINT (-122.43083 37.722786),90,90,9,1,7
CROSS,ALLISON,NE,WB,,21477000,CROSS & ALLISON,,,,,,,POINT (-122.44214 37.713665),58,58,9,1,7
FAIRMOUNT,CHENERY,NE,WB,0,21847000,FAIRMOUNT ST & CHENERY ST,,,,,,,POINT (-122.42581 37.738953),59,59,9,5,10
19TH AVE,LAKE,NW,SB,0,27637000,19TH AVE & LAKE,,,,,,,POINT (-122.478714 37.78603),2,2,8,4,29
24TH AVE,TARAVAL,SE,NB,0,23261000,24TH AVE & TARAVAL,,,,,,,POINT (-122.48105 37.742813),40,40,10,7,35
SUNNYDALE,SANTOS,SW,EB,0,20433000,SUNNYDALE & SANTOS,,,,,,,POINT (-122.41828 37.71235),74,74,9,9,40
23RD ST,ALABAMA,NE,WB,,23977000,23RD ST & ALABAMA ST,,,,,,,POINT (-122.41112 37.754288),53,53,3,2,20
LELAND AVE,RUTLAND,NE,WB,0,20356000,LELAND AVE & RUTLAND,,,,,,,POINT (-122.40735 37.712547),75,75,9,9,40
38TH AVE,IRVING,,EB,,27783000,38TH AVE & IRVING,,,,,,,POINT (-122.49748 37.762665),39,39,10,7,35
FILBERT,DIVISADERO,SW,EB,0,26875000,FILBERT ST & DIVISADERO,,,,,,,POINT (-122.442276 37.79718),14,14,4,6,13
SEVILLE,CORDOVA,SW,EB,0,21404000,SEVILLE & CORDOVA,,,,,,,POINT (-122.435555 37.711582),58,58,9,1,7
TUNNEL,BLANKEN,NW,SB,0,20289000,TUNNEL & BLANKEN,,,,,,,POINT (-122.40079 37.712017),89,89,2,9,1
42ND AVE,ANZA,SE,NB,0,27909000,42ND AVE & ANZA,,,,,,,POINT (-122.50281 37.777336),6,6,8,4,29
MARTIN L KING,BOWLING GREEN,NE,WB,,27182000,MARTIN L KING & BOWLING GREEN,,,,,,,POINT (-122.46068 37.76745),9,9,8,11,12
CABRILLO,36TH AVE,NE,WB,0,27831000,CABRILLO ST & 36TH AVE,,,,I,,,POINT (-122.49612 37.7739),8,8,8,4,29
DARTMOUTH,WOOLSEY,SE,NB,,20875000,DARTMOUTH ST & WOOLSEY ST,,,,,,,POINT (-122.4105 37.72317),91,91,2,2,25
POLK,GREENWICH,NW,SB,,26688000,POLK ST & GREENWICH ST,20180320000000,,180320-043,I,18-5466,,POINT (-122.422714 37.800625),107,107,4,6,32
16TH AVE,PACHECO,NW,SB,,27309000,16TH AVE & PACHECO,,,,,,,POINT (-122.473 37.750652),44,44,10,8,14
44TH AVE,TARAVAL,SE,NB,0,23462000,44TH AVE & TARAVAL,,,,,,,POINT (-122.50248 37.741863),39,39,10,7,35
MARTIN LUTHER KING,BERNICE RODGERS,SW,EB,,27870000,MARTIN LUTHER KING JR DR & BERNICE RODGERS WY,,,,,,,POINT (-122.50412 37.765526),9,9,8,4,12
PIERCE,MCALLISTER,NW,SB,0,26063000,PIERCE ST & MCALLISTER ST,,,,,,,POINT (-122.43505 37.778214),23,23,4,11,39
LA SALLE AVE,NEWHALL,SW,EB,0,20669000,LA SALLE AVE & NEWHALL,,,,,,,POINT (-122.39052 37.73754),86,86,2,9,1
PRAGUE,NAYLOR,SW,EB,0,21390000,PRAGUE ST & NAYLOR ST,,,,I,,,POINT (-122.4336 37.710815),58,58,9,1,7
DARIEN,KENWOOD,NW,SB,,22673000,DARIEN WY & KENWOOD WY,20170221000000,,170221-011,,,,POINT (-122.460815 37.72868),68,68,10,8,41
FUNSTON,ULLOA,NW,SB,0,22986000,FUNSTON & ULLOA,,,,,,,POINT (-122.46903 37.74147),46,46,10,8,41
SANCHEZ,20TH ST,SE,NB,,25713000,SANCHEZ ST & 20TH ST,,,,I,,,POINT (-122.43027 37.757954),52,52,3,5,5
14TH AVE,TARAVAL,NW,SB,0,22990000,14TH AVE & TARAVAL,,,,,,,POINT (-122.47024 37.74329),44,44,10,8,41
DELLBROOK,OLYMPIA,SE,NB,,26241000,DELLBROOK AVE & OLYMPIA WY,20160920000000,,16-127,,,,POINT (-122.45439 37.751278),48,48,7,8,38
REY,VISITACION,NW,SB,0,20378000,REY & VISITACION,,,,,,,POINT (-122.411575 37.712463),75,75,9,9,40
47TH AVE,WAWONA ST,NW,SB,,23492000,47TH AVE & WAWONA ST,,,,,,,POINT (-122.505295 37.736134),40,40,10,7,35
STAPLES,CIRCULAR,,EB,,33604000,,,,,,,,POINT (-122.4426 37.729103),95,95,9,8,41
JESSIE ST,09TH ST,SW,EB,0,24416000,JESSIE ST & 09TH ST,,,,,,,POINT (-122.41532 37.77672),32,32,5,10,34
HYDE,CLAY,NE,SB,0,25258000,HYDE & CLAY,,,,,,,POINT (-122.41776 37.792805),16,16,6,3,32
FAIRMOUNT,CHENERY,SW,EB,0,21847000,FAIRMOUNT ST & CHENERY ST,,,,,,,POINT (-122.42581 37.738953),59,59,9,5,10
LAWTON,17TH AVE,NE,WB,0,27331000,LAWTON ST & 17TH AVE,,,,,,,POINT (-122.474594 37.75806),44,44,10,8,14
REY,SUNNYDALE,NW,SB,0,20370000,REY & SUNNYDALE,,,,,,,POINT (-122.412285 37.710865),75,75,9,9,40
BALBOA,03RD AVE,NE,WB,,27235000,BALBOA ST & 03RD AVE,,,,,,,POINT (-122.46079 37.77738),5,5,8,4,11
LATHROP AVE,TOCOLOMA,NE,NB,,20273000,LATHROP AVE & TOCOLOMA,,,,,,,POINT (-122.39856 37.710457),89,89,2,9,1
15TH ST,NOE,SW,EB,0,25810000,15TH ST & NOE,,,,,,,POINT (-122.43326 37.76586),28,28,7,5,5
ROLPH,PRAGUE,NE,WB,0,21391000,ROLPH & PRAGUE,,,,I,,,POINT (-122.43265 37.711758),58,58,9,1,7
STEINER,SACRAMENTO,SE,NB,0,26637000,STEINER ST & SACRAMENTO ST,,,,I,,,POINT (-122.43568 37.78963),102,102,4,6,30
SANCHEZ,19TH ST,NW,SB,0,25718000,SANCHEZ ST & 19TH ST,,,,I,,,POINT (-122.43042 37.759556),52,52,3,5,5
ELIZABETH,DOUGLASS,NE,WB,0,25768000,ELIZABETH & DOUGLASS,,,,,,,POINT (-122.43855 37.751827),51,51,3,5,22
LOMBARD,MASON,SW,EB,0,25464000,LOMBARD ST & MASON ST,,,,I,,,POINT (-122.41303 37.802826),106,106,6,3,23
HOLYOKE ST,WAYLAND,NW,SB,,20864000,HOLYOKE ST & WAYLAND,,,,,,,POINT (-122.40804 37.725143),91,91,2,2,25
09TH AVE,LAKE,SE,NB,0,27608000,09TH AVE & LAKE,,,,,,,POINT (-122.467896 37.786533),4,4,8,4,11
PACHECO,24TH AVE,NE,WB,,23272000,PACHECO ST & 24TH AVE,20180717000000,,180717-097,I,18-6320,,POINT (-122.48157 37.750275),39,39,10,7,35
GAMBIER,BURROWS,NW,SB,,20985000,GAMBIER ST & BURROWS ST,20200904000000,,6291,I,20-01240,20201001000000,POINT (-122.42086 37.724453),73,73,9,2,19
SANTIAGO,32ND AVE,NE,WB,0,23390000,SANTIAGO & 32ND AVE,,,,,,,POINT (-122.48975 37.744305),40,40,10,7,35
VERMONT,CESAR CHAVEZ,NW,SB,00,33729000,VERMONT ST & CESAR CHAVEZ,,,,I,,,POINT (-122.40286 37.749477),54,54,2,9,1
20TH AVE,BALBOA,SE,NB,0,27497000,20TH AVE & BALBOA,,,,,,,POINT (-122.4791 37.776546),8,8,8,4,29
VAN DYKE,JENNINGS,SW,EB,00,20151000,VAN DYKE & JENNINGS,,,,,,,POINT (-122.38867 37.727043),86,86,2,9,1
25TH ST,FLORIDA,SW,EB,,23956000,25TH ST & FLORIDA,,,,,,,POINT (-122.40991 37.751144),53,53,3,2,20
BALCETA,LAGUNA HONDA,SW,EB,,22856000,BALCETA & LAGUNA HONDA,,,,,,,POINT (-122.4574 37.74549),49,49,7,8,41
SANTOS,VELASCO,SE,NB,0,20425000,SANTOS & VELASCO,,,,,,,POINT (-122.41935 37.709946),74,74,9,9,40
WISCONSIN,MADERA,NW,SB,0,23704000,WISCONSIN & MADERA,,,,,,,POINT (-122.398796 37.75584),54,54,2,9,26
SAN ANSELMO,MONTEREY,NE,WB,0,22903000,SAN ANSELMO & MONTEREY,,,,,,,POINT (-122.46566 37.733154),116,116,10,8,41
DAVIDSON,QUINT,NE,WB,,20696000,DAVIDSON & QUINT,,,,,,,POINT (-122.38976 37.74467),56,56,2,9,1
NEY,TRUMBULL,SE,NB,0,21668000,NEY & TRUMBULL,,,,,,,POINT (-122.42324 37.73082),94,94,9,1,7
47TH AVE,BALBOA,SE,NB,0,27990000,47TH AVE & BALBOA,,,,,,,POINT (-122.508026 37.775227),8,8,8,4,29
16TH AVE,ANZA,NW,SB,15N,27479000,16TH AVE & ANZA,,,,,,,POINT (-122.47495 37.778603),5,5,8,4,29
DAY,CHURCH,SW,EB,0,21894000,DAY ST & CHURCH ST,,,,,,,POINT (-122.4266 37.742897),84,84,9,5,22
LANE ST,PALOU,SE,NB,0,20210000,LANE ST & PALOU,,,,,,,POINT (-122.38904 37.732918),86,86,2,9,1
44TH AVE,CLEMENT ST,SE,NB,,27999000,44TH AVE & CLEMENT ST,20170905000000,,170905-108,,,,POINT (-122.505226 37.78108),6,6,8,4,17
DAY,NOE,SW,EB,0,22002000,DAY ST & NOE ST,,,,,,,POINT (-122.43102 37.74263),84,84,9,5,22
ANAPOLIS,TURK,,NB,,26395000,,,,,,,,POINT (-122.448 37.7785),12,12,7,4,18
MOJAVE,BRADFORD,SW,EB,,21033000,MOJAVE & BRADFORD,,,,,,,POINT (-122.40957 37.738888),83,83,9,2,2
ULLOA,40TH AVE,NE,WB,00,23438000,ULLOA ST & 40TH AVE,,,,,,,POINT (-122.49806 37.740192),39,39,10,7,35
24TH AVE,BALBOA,SE,NB,0,27534000,24TH AVE & BALBOA,,,,,,,POINT (-122.48339 37.776352),8,8,8,4,29
25TH ST,DE HARO,NE,WB,,23692000,25TH ST & DE HARO,,,,,,,POINT (-122.40041 37.752075),54,54,2,9,26
CLIPPER,DOUGLASS,NE,WB,0,22316000,CLIPPER & DOUGLASS,,,,,,,POINT (-122.43825 37.748665),51,51,3,5,22
CLEMENT,29TH AVE,NE,WB,0,27842000,CLEMENT ST & 29TH AVE,,,,,,,POINT (-122.48916 37.781826),8,8,8,4,29
48TH AVE,NORIEGA,NW,SB,0,27928000,48TH AVE & NORIEGA,,,,,,,POINT (-122.507545 37.75287),39,39,10,7,35
CLAYTON,CORBETT,SW,EB,0,26193000,CLAYTON & CORBETT,,,,,,,POINT (-122.44602 37.758724),115,115,7,5,5
08TH AVE,JUDAH,NW,SB,0,27144000,08TH AVE & JUDAH,,,,,,,POINT (-122.46512 37.762222),109,109,10,11,14
34TH AVE,VICENTE,NW,SB,0,23352000,34TH AVE & VICENTE,,,,,,,POINT (-122.49152 37.738613),40,40,10,7,35
FRANCISCO,BRODERICK,SW,EB,0,27002000,FRANCISCO ST & BRODERICK ST,,,,,,,POINT (-122.4447 37.800697),17,17,4,6,13
RUSSIA,NAPLES,SW,EB,0,21711000,RUSSIA & NAPLES,,,,,,,POINT (-122.43239 37.7193),90,90,9,1,7
SHOTWELL,19TH ST,NW,SB,0,24125000,SHOTWELL & 19TH ST,,,,,,,POINT (-122.41593 37.760433),53,53,3,2,20
GIRARD,MANSELL,SE,NB,0,20572000,GIRARD & MANSELL,,,,,,,POINT (-122.402054 37.72128),91,91,2,9,25
LINDEN,OCTAVIA,SW,EB,0,25926000,LINDEN ST & OCTAVIA ST,20210903000000,,6455,I,21-02938,20211012000000,POINT (-122.42457 37.776203),22,22,4,11,9
GREENWICH,STEINER,SW,EB,0,26765000,GREENWICH ST & STEINER ST,,,,,,,POINT (-122.437515 37.79874),14,14,4,6,13
PALOMA,MONCADA,SW,EB,0,22786000,PALOMA AVE & MONCADA WY,,,,I,,,POINT (-122.46934 37.728756),67,67,10,8,41
DARIEN,SAN ALESO,SW,EB,0,22765000,DARIEN WY & SAN ALESO AVE,,,,,,,POINT (-122.46504 37.731754),63,63,10,8,41
THERESA,SAN JOSE,NE,WB,0,52095000,THERESA & SAN JOSE,,,,I,,,POINT (-122.43689 37.730743),94,94,9,8,28
RIVERA,30TH AVE,SW,EB,,23287000,RIVERA & 30TH AVE,,,,,,,POINT (-122.48774 37.746258),40,40,10,7,35
ELLIS,BRODERICK,,EB,,26361000,ELLIS ST & BRODERICK ST,,,,,,,POINT (-122.44078 37.78131),13,13,7,11,39
GROVE,BAKER,NE,WB,0,26352000,GROVE & BAKER,,,,,,,POINT (-122.4413 37.775505),24,24,7,11,9
45TH AVE,JUDAH,NW,SB,0,27946000,45TH AVE & JUDAH,,,,,,,POINT (-122.50486 37.76047),39,39,10,7,35
SANTOS,BROOKDALE,,SB,,20432000,,,,,,,,POINT (-122.41876 37.711933),74,74,9,9,40
GREENWICH,POWELL,SW,EB,0,25451000,GREENWICH ST & POWELL ST,,,,,,,POINT (-122.4112 37.8021),106,106,6,3,23
JENNINGS ST,GILMAN,NW,SB,0,20469000,JENNINGS ST & GILMAN,,,,,,,POINT (-122.39374 37.72141),88,88,2,9,1
DIAMOND,CLIPPER,NW,SB,,25757000,DIAMOND ST & CLIPPER ST,,,,,,,POINT (-122.436066 37.74876),84,84,3,5,22
31ST AVE,CABRILLO,SE,NB,0,27816000,31ST AVE & CABRILLO,,,,,,,POINT (-122.49075 37.774143),8,8,8,4,29
PACHECO,9TH AVE,NE,WB,0,23293000,PACHECO ST & 9TH AVE,,,,I,,,POINT (-122.48692 37.75004),39,39,10,7,35
POWELL,CHESTNUT,NW,SB,0,25455000,POWELL ST & CHESTNUT ST,,,,I,,,POINT (-122.41158 37.803963),106,106,6,3,23
RANDALL,WHITNEY,SW,EB,0,21879000,RANDALL ST & WHITNEY ST,,,,,,,POINT (-122.42792 37.73965),59,59,9,5,10
KEITH ST,REVERE,SE,NB,,20159000,KEITH ST & REVERE,,,,,,,POINT (-122.38829 37.730606),86,86,2,9,1
IRVING,02ND AVE,NE,WB,,27068000,IRVING ST & 02ND AVE,,,,,,,POINT (-122.45882 37.764366),109,109,7,11,14
ARKANSAS,20TH ST,NW,SB,0,23733000,ARKANSAS & 20TH ST,,,,,,,POINT (-122.39822 37.75991),54,54,2,9,26
37TH AVE,BALBOA,SE,NB,0,27883000,37TH AVE & BALBOA,,,,,,,POINT (-122.49732 37.775715),8,8,8,4,29
ALPHA,RAYMOND,SE,NB,0,20310000,ALPHA & RAYMOND,,,,,,,POINT (-122.405235 37.712578),75,75,9,9,40
FREDERICK,COLE,NE,WB,0,26410000,FREDERICK & COLE,,,,,,,POINT (-122.45014 37.766727),29,29,7,11,3
LARKIN ST,GREEN,NW,SB,0,25314000,LARKIN ST & GREEN,,,,,,,POINT (-122.4205 37.798035),107,107,6,3,32
BENTON,JUSTIN,NE,WB,,21237000,BENTON AVE & JUSTIN DR,,,,,,,POINT (-122.42203 37.73314),93,93,9,2,2
POLK,FILBERT,NW,SB,,25564000,POLK ST & FILBERT ST,,,,,,,POINT (-122.42252 37.799694),107,107,4,6,32
SONOMA,GREEN,NW,SB,0,25328000,SONOMA & GREEN,,,,,,,POINT (-122.40622 37.79985),106,106,6,3,23
MONTANA,PLYMOUTH,SW,EB,0,22574000,MONTANA ST & PLYMOUTH AVE,,,,I,,,POINT (-122.456085 37.71663),81,81,10,1,24
PACHECO,30TH AVE,NE,WB,9E,23399000,PACHECO ST & 30TH AVE,,,,I,,,POINT (-122.488 37.74999),39,39,10,7,35
39TH AVE,GEARY,NW,SB,0,27896000,39TH AVE & GEARY,,,,,,,POINT (-122.49973 37.779404),8,8,8,4,29
41ST AVE,NORIEGA,SE,NB,0,27756000,41ST AVE & NORIEGA,,,,,,,POINT (-122.500046 37.7532),39,39,10,7,35
TAYLOR,JACKSON,SE,NB,0,25121000,TAYLOR & JACKSON,,,,,,,POINT (-122.413185 37.795197),16,16,6,3,21
LAGUNA,CLAY,SE,SB,,26557000,LAGUNA ST & CLAY ST,,,,I,,,POINT (-122.42927 37.79134),102,102,4,6,30
BRADFORD,BERNAL HEIGHTS,NW,SB,0,3059000,BRADFORD ST & BERNAL HEIGHTS BLVD,20201204000000,,6330,I,20-01580,20210217000000,POINT (-122.40938 37.742924),83,83,9,2,2
GENEBERN,COLLEGE,SW,EB,0,21818000,GENEBERN & COLLEGE,,,,,,,POINT (-122.42385 37.734562),93,93,9,2,2
BEULAH,COLE,,EB,,26411000,,,,,,,,POINT (-122.45033 37.767666),29,29,7,11,3
KIRKHAM,08TH AVE,EB,EB,,27142000,KIRKHAM ST & 08TH AVE,,,,,,,POINT (-122.46498 37.760357),109,109,10,8,14
EUCALYPTUS,22ND AVE,NE,WB,0,23086000,EUCALYPTUS DR & 22ND AVE,,,,,,,POINT (-122.477234 37.731117),41,41,10,8,16
DARIEN,SAN ALESO,NE,WB,0,22765000,DARIEN WY & SAN ALESO AVE,,,,,,,POINT (-122.46504 37.731754),63,63,10,8,41
14TH AVE,IRVING,SE,NB,0,27174000,14TH AVE & IRVING,,,,,,,POINT (-122.471664 37.7638),109,109,10,11,14
MENDELL,KIRKWOOD,SE,NB,,20222000,MENDELL ST & KIRKWOOD AVE,,,,,,,POINT (-122.38809 37.737106),86,86,2,9,1
QUINTARA,21ST AVE,SW,EB,0,23211000,21ST AVE & QUINTARA,20220708000000,,6558,I,22-04673,20221003000000,POINT (-122.478226 37.74855),40,40,10,7,35
SHRADER,HAYES,SE,NB,0,26438000,SHRADER & HAYES,,,,,,,POINT (-122.45262 37.773106),24,24,7,11,18
